"","Y","X1","X2","X3","X4","X5","X6"
"294",-10.7,0,4,1980,620.54,12.5,0
"302",-11.2,8,4,1980,620.5,3.25,0
"309",-12.3,15,4,1980,623.24,6.875,3.5
"316",-12.9,22,4,1980,625.22,6.25,0
"330",-13.4,36,5,1980,626.83,13.25,0
"337",-13.9,43,5,1980,628.27,8.25,0
"344",-13.9,50,5,1980,628.5,9.25,9.5
"351",-13.9,57,5,1980,628.47,8.125,5.7
"365",-12.9,71,6,1980,628.61,14.75,0
"372",-12.1,78,6,1980,628.54,15.75,0
"379",-12.1,85,6,1980,628.66,14.5,1
"386",-11.6,92,7,1980,628.64,14.75,0
"393",-11.2,99,7,1980,628.2,13.875,3
"400",-10.8,106,7,1980,627.71,11.25,4.5
"407",-9.5,113,7,1980,627.09,19.875,0
"414",-8.5,120,7,1980,626.36,18.5,0
"449",-4.6,155,9,1980,622.86,18.5,0
"463",-3.7,169,9,1980,621.35,18.375,0
"470",-3.3,176,9,1980,620.49,16.5,0
"477",-3.1,183,10,1980,619.36,17.25,0
"484",-3.3,190,10,1980,618.28,8.5,5
"491",-3.7,197,10,1980,617.14,8.875,0
"498",-4.2,204,10,1980,616.05,10.25,0
"505",-3.8,211,10,1980,614.87,13.625,0
"512",-4.6,218,11,1980,613.84,0.5,7.5
"520",-5.5,226,11,1980,614.21,5.5,0
"526",-6,232,11,1980,613.58,8,0
"534",-6.3,240,11,1980,612.37,1.5,0
"540",-7,246,12,1980,611.43,0.25,0
"547",-7.7,253,12,1980,610.56,-1,0
"555",-7.9,261,12,1980,609.55,2.375,0
"576",-8.3,282,1,1981,606.85,2.75,0
"583",-8.4,289,1,1981,606.76,5,0
"590",-8.4,296,1,1981,606.68,7.875,0
"597",-8.6,303,1,1981,606.57,3.75,0
"603",-8.6,309,2,1981,606.46,6.25,0
"610",-8.6,316,2,1981,606.36,1.875,0
"617",-8.7,323,2,1981,606.23,2.5,0
"625",-9,331,2,1981,606.12,3.5,7.5
"631",-8.7,337,3,1981,605.88,6.75,0
"639",-7.5,345,3,1981,605.62,12.25,0
"645",-7.8,351,3,1981,605.56,4,0
"652",-6.7,358,3,1981,605.29,12.125,0
"659",-7.2,365,4,1981,606.94,10,0
"666",-6.8,372,4,1981,607.5,12,0
"680",-6.9,386,4,1981,608.11,6.5,7.5
"687",-8.4,393,4,1981,613.83,9.75,0
"694",-8.2,400,5,1981,615.36,12.375,0
"701",-9.3,407,5,1981,618.66,10.5,0
"709",-9.5,415,5,1981,620.2,11.5,8
"716",-9.6,422,5,1981,621.09,12.125,0
"723",-9,429,6,1981,621.58,14,0
"730",-7.6,436,6,1981,621.69,21.875,0
"744",-7.1,450,6,1981,621.22,14.875,35
"751",-10.2,457,7,1981,628.31,16.75,0
"757",-9.7,463,7,1981,628.3,17,0
"765",-9,471,7,1981,628.41,20,0
"771",-9.1,477,7,1981,628.3,17.25,0
"779",-8.8,485,7,1981,628.28,21.5,0
"786",-8.4,492,8,1981,628.04,20.375,0
"792",-8.2,498,8,1981,627.69,17.875,0
"807",-7.2,513,8,1981,626.96,18.75,0
"813",-7,519,9,1981,626.65,17,3.5
"827",-6.3,533,9,1981,625.92,20,0
"834",-6.7,540,9,1981,625.4,14.5,4
"841",-7.1,547,10,1981,625.06,14,0
"848",-7.3,554,10,1981,624.77,15.5,0
"855",-6.9,561,10,1981,624.07,14.5,0
"862",-6.9,568,10,1981,623.3,9.25,0
"869",-6.9,575,10,1981,622.47,10.25,0
"877",-6.9,583,11,1981,621.42,12,0
"884",-7.4,590,11,1981,620.47,6.25,0
"890",-7.7,596,11,1981,619.64,7.75,0
"897",-7.9,603,11,1981,618.71,6,0
"905",-8.5,611,12,1981,617.58,2.25,0
"918",-8.6,624,12,1981,615.74,7.25,0
"925",-9.1,631,12,1981,614.78,5.75,6
"932",-9.1,638,12,1981,616.27,5.25,24.5
"939",-10.4,645,1,1982,616.9,6.75,0
"947",-10.6,653,1,1982,616.58,7.75,3.5
"953",-13.5,659,1,1982,623.88,6.5,0
"960",-14.5,666,1,1982,624.83,4,0
"967",-14.5,673,2,1982,624.97,6.25,0.8
"981",-15.8,687,2,1982,627.23,7,0
"987",-16.4,693,2,1982,627.96,4,0
"994",-16,700,3,1982,628.25,7.875,0
"1002",-16.7,708,3,1982,627.94,7.375,0
"1007",-16.2,713,3,1982,627.9,6.75,0
"1016",-16.2,722,3,1982,627.84,6.5,0
"1022",-16.4,728,3,1982,628.29,9.125,6.5
"1037",-16,743,4,1982,628.56,6.75,0
"1042",-16.1,748,4,1982,628.08,10.125,6.5
"1051",-15.7,757,4,1982,628.23,11.75,0
"1058",-15.3,764,5,1982,628.19,9.75,5
"1065",-15,771,5,1982,628.03,13,0
"1072",-14.5,778,5,1982,628.46,14.75,4
"1080",-13.9,786,5,1982,628.44,16.75,0
"1086",-13.8,792,6,1982,628.44,15.5,0
"1092",-13.7,798,6,1982,628.5,19.25,0
"1100",-13.4,806,6,1982,628.06,19.75,0
"1115",-12.8,821,7,1982,627.44,25.25,0
"1121",-9.6,827,7,1982,626.89,28.25,1.2
"1128",-8.5,834,7,1982,626.11,24.75,0
"1142",-8.5,848,7,1982,624.58,21.5,0
"1177",-6.5,883,9,1982,624.61,15,0
"1184",-7,890,9,1982,625.36,16.75,0
"1192",-6.3,898,9,1982,625.02,18.75,0
"1198",-6.4,904,9,1982,624.47,17.5,0
"1205",-6.5,911,9,1982,624.01,15,12.5
"1212",-6.8,918,10,1982,623.33,9,0
"1219",-7,925,10,1982,622.54,14,0
"1226",-7.2,932,10,1982,621.75,13.375,0
"1233",-7.9,939,10,1982,622.39,11.5,0
"1240",-7.9,946,11,1982,621.91,11.25,0
"1247",-9.4,953,11,1982,624.96,8,0
"1254",-10.3,960,11,1982,624.84,6.875,0
"1261",-11.3,967,11,1982,625,5.75,0
"1268",-11.8,974,12,1982,625.34,4.375,0
"1275",-12.7,981,12,1982,625.17,6.25,0
"1282",-13.3,988,12,1982,625.03,3.75,0
"1289",-13.6,995,12,1982,624.91,0.25,0
"1296",-13.8,1002,12,1982,624.43,4.25,0
"1310",-14.2,1016,1,1983,623.27,2.125,0
"1317",-14.4,1023,1,1983,622.64,2.25,0
"1324",-14.2,1030,1,1983,621.9,8.625,0
"1331",-13.9,1037,2,1983,621.14,4,0
"1338",-14.1,1044,2,1983,620.33,-1.25,0
"1345",-14.5,1051,2,1983,619.47,0,0
"1352",-14,1058,2,1983,618.61,5.125,0
"1359",-13.4,1065,3,1983,618.2,8,0
"1366",-13,1072,3,1983,617.43,9,0
"1373",-12.5,1079,3,1983,616.6,6.75,0
"1380",-11.5,1086,3,1983,615.8,9.125,0
"1387",-11.5,1093,3,1983,614.96,6.5,0
"1394",-11.5,1100,4,1983,614.22,8.5,0
"1401",-10.7,1107,4,1983,613.48,7,0
"1408",-10.3,1114,4,1983,612.77,8.75,13.5
"1415",-9.9,1121,4,1983,612.29,10,0
"1422",-9.4,1128,5,1983,612.05,12.625,0
"1436",-8.3,1142,5,1983,611.03,12.75,0
"1443",-8,1149,5,1983,610.33,10.5,0
"1458",-4.8,1164,6,1983,608.79,22,0
"1465",-3.9,1171,6,1983,607.82,21.25,2
"1471",-4.3,1177,6,1983,606.99,17.5,4
"1478",-3.6,1184,6,1983,606.64,18.5,0
"1485",-2.9,1191,7,1983,606.06,20,0
"1492",-1.4,1198,7,1983,605.08,24.375,0
"1499",-0.5,1205,7,1983,603.95,25,0
"1506",0.6,1212,7,1983,603.01,26,0
"1541",1.2,1247,9,1983,601.45,21,0
"1555",1.5,1261,9,1983,600.43,19,0
"1562",1.7,1268,9,1983,599.64,20.5,0
"1569",2,1275,9,1983,598.53,15.75,0
"1576",2.1,1282,10,1983,597.5,17.375,0
"1583",1.7,1289,10,1983,596.67,13.25,0
"1590",1,1296,10,1983,596.03,12.5,0
"1597",0.2,1303,10,1983,595.26,10,0
"1604",-0.5,1310,11,1983,594.53,8.875,0
"1611",-1.2,1317,11,1983,598.79,13.5,4.5
"1618",-3.3,1324,11,1983,607.95,8.75,18
"1625",-5.2,1331,11,1983,611.6,9,0
"1632",-6.2,1338,12,1983,612.74,7.125,0
"1653",-8.9,1359,12,1983,615.66,3.5,0
"1660",-10,1366,12,1983,617.61,7.125,0
"1667",-11,1373,1,1984,618.5,1.75,0
"1674",-11.6,1380,1,1984,618.8,1.25,0
"1681",-12,1387,1,1984,618.89,3.25,0
"1688",-12.3,1394,1,1984,618.87,4.75,0
"1695",-12.4,1401,2,1984,618.84,5.5,8.5
"1702",-12.3,1408,2,1984,618.72,7.125,0
"1709",-12.7,1415,2,1984,618.48,-0.75,0
"1716",-12.7,1422,2,1984,617.92,4.5,0
"1723",-13,1429,3,1984,617.02,2.5,6.7
"1730",-13,1436,3,1984,616.29,6.125,0
"1737",-12.6,1443,3,1984,615.42,3.25,29
"1744",-12.4,1450,3,1984,615.13,5.25,25.5
"1751",-12.6,1457,3,1984,616.46,7.5,3.7
"1758",-12.9,1464,4,1984,618.73,7.125,11.5
"1765",-12.6,1471,4,1984,619.84,12.5,0
"1772",-12.7,1478,4,1984,620.57,11,0
"1779",-12.2,1485,4,1984,621.06,16.25,0
"1786",-12.4,1492,5,1984,621.4,10.875,2.5
"1793",-12.6,1499,5,1984,622.49,10.75,0
"1800",-13.2,1506,5,1984,623.01,9.25,4.2
"1807",-15.1,1513,5,1984,626.83,8.75,0
"1814",-16,1520,5,1984,629.14,11.5,7
"1821",-16.3,1527,6,1984,629.02,5.5,6
"1828",-15.2,1534,6,1984,629.18,17.875,0
"1842",-13.3,1548,6,1984,628.92,20.375,0
"1849",-12.8,1555,7,1984,628.9,19,18.7
"1856",-11.5,1562,7,1984,628.54,25.125,0
"1863",-10.9,1569,7,1984,628.05,21.25,0
"1870",-10,1576,7,1984,627.64,24.625,0
"1877",-9.2,1583,8,1984,627.12,21.5,0
"1884",-9.2,1590,8,1984,626.57,18.5,4.5
"1912",-8.1,1618,9,1984,625.15,18,0
"1919",-7.8,1625,9,1984,624.63,16.75,0
"1926",-7.8,1632,9,1984,624.04,15.125,0
"1940",-7,1646,10,1984,622.57,12.25,2.5
"1947",-7.4,1653,10,1984,621.51,14,0
"1954",-7.7,1660,10,1984,620.88,14.25,0
"1961",-7.5,1667,10,1984,620.24,14,0
"1975",-8.6,1681,11,1984,620.14,10.75,3
"1982",-10.5,1688,11,1984,623.45,9.125,10
"1989",-11.9,1695,11,1984,625.33,8.25,0
"1996",-12.5,1702,11,1984,625.59,5.625,0
"2010",-14.6,1716,12,1984,628.03,4.75,0
"2017",-15.3,1723,12,1984,627.69,1,0
"2024",-15.6,1730,12,1984,627.14,1.625,0
"2031",-15.8,1737,1,1985,626.43,1.5,0
"2038",-16.4,1744,1,1985,625.68,-6.125,0
"2045",-16.7,1751,1,1985,624.9,-7.25,0
"2052",-16.3,1758,1,1985,624.16,3.875,0
"2059",-16.2,1765,1,1985,623.36,5.5,0
"2066",-15.5,1772,2,1985,622.45,8.75,0
"2073",-15.5,1779,2,1985,621.54,8.5,0
"2080",-15,1786,2,1985,620.62,3.875,0
"2087",-14.4,1793,2,1985,619.67,7.5,0
"2094",-14.4,1800,3,1985,618.71,3.25,0
"2101",-14.1,1807,3,1985,617.75,3.25,0
"2108",-13.9,1814,3,1985,616.72,4.375,2
"2115",-13.5,1821,3,1985,615.7,5,0
"2122",-12.1,1828,4,1985,614.62,12.625,0
"2129",-11.3,1835,4,1985,613.78,6.5,0
"2136",-10.3,1842,4,1985,612.66,12,0
"2143",-10.3,1849,4,1985,611.64,9.75,1.5
"2150",-9.6,1856,5,1985,610.95,14.625,0
"2157",-10.3,1863,5,1985,612.72,10.25,0
